Using model: gpt-3.5-turbo
The robot should perform the following steps to reliably pull the drawer open:

- When the robot's gripper is not vertically aligned with drawer handle, the robot should put gripper above drawer handle.
- When the robot's gripper is vertically aligned with drawer handle and the robot's gripper is not around drawer handle, the robot should put gripper around drawer handle.
- When the robot's gripper is around drawer handle, the robot should pull away from drawer.
To pull the drawer open reliably, the robot should perform the following steps:
- When the robot's gripper is not vertically aligned with drawer handle, the robot should put gripper above drawer handle.
- When the robot's gripper is vertically aligned with drawer handle and the robot's gripper is not around drawer handle, the robot should put gripper around drawer handle.
- When the robot's gripper is around drawer handle, the robot should pull away from drawer.
To pull the drawer open reliably, the robot should perform the following steps:

- When the robot's gripper is not vertically aligned with the drawer handle, the robot should put the gripper above the drawer handle.
- When the robot's gripper is vertically aligned with the drawer handle and the robot's gripper is not around the drawer handle, the robot should put the gripper around the drawer handle.
- When the robot's gripper is around the drawer handle, the robot should pull away from the drawer.
To pull the drawer open reliably, the robot should perform the following steps:
- When the robot's gripper is not vertically aligned with drawer handle, the robot should put gripper above drawer handle.
- When the robot's gripper is vertically aligned with drawer handle and the robot's gripper is not around drawer handle, the robot should put gripper around drawer handle.
- When the robot's gripper is around drawer handle, the robot should pull away from drawer.
To pull the drawer open reliably, the robot should perform the following steps: 

- When the robot's gripper is not vertically aligned with drawer handle, the robot should put gripper above drawer handle.
- When the robot's gripper is vertically aligned with drawer handle and the robot's gripper is not around drawer handle, the robot should put gripper around drawer handle.
- When the robot's gripper is around drawer handle, the robot should pull away from drawer.
