Using model: text-davinci-003

    - When the robot's gripper is not on top of mug, the robot should put gripper above mug.
    - When the robot's gripper is on top of mug and the robot's gripper is open, the robot should grab mug.
    - When the robot's gripper is around mug, the robot should move mug to goal.

    - When the robot's gripper is not above mug and the robot's gripper is not vertically aligned with the mug, the robot should put the gripper above the mug.
    - When the robot's gripper is vertically aligned with the mug and the robot's gripper is not around mug, the robot should put gripper around mug.
    - When the robot's gripper is around mug and the mug is below the robot's gripper, the robot should move mug to goal.

- When the robot's gripper is not above the mug and the robot's gripper is not vertically aligned with the mug, the robot should put the gripper above the mug.
- When the robot's gripper is vertically aligned with the mug and the robot's gripper is not near the mug, the robot should push the gripper into the mug.
- When the robot's gripper is near the mug and the mug is below the robot's gripper, the robot should slide the mug to the target location.

    - When the robot's gripper is not above the mug, the robot should place gripper above mug.
    - When the robot's gripper is not around mug and the robot's gripper is open, the robot should drop gripper around mug.
    - When the robot's gripper is near mug and the robot's gripper is open, the robot should close gripper around mug.
    - When the robot's gripper is above mug and the robot's gripper is closed, the robot should move mug to goal.

    - When the robot's gripper is not above mug and the robot's gripper is not vertically aligned with the mug, the robot should put the gripper above the mug.
    - When the robot's gripper is vertically aligned with the mug and the robot's gripper is not near mug, the robot should push the gripper into the mug.
    - When the robot's gripper is near the mug, the robot should slide the mug to the goal.
