Using model: text-davinci-003

    - When the robot's gripper is not above faucet handle, the robot should put gripper above faucet handle.
    - When the robot's gripper is above faucet handle and the robot's gripper is not around faucet handle, the robot should put gripper around faucet handle.
    - When the robot's gripper is around faucet handle and the faucet is not completely right, the robot should turn right faucet handle.

    - When the robot's gripper is not near the faucet handle, the robot should move gripper above faucet handle.
    - When the robot's gripper is not forward aligned with the faucet handle, the robot should rotate the gripper so that it faces right.
    - When the robot's gripper is aligned with the faucet handle, the robot should turn faucet right.

    - When the robot's gripper is not vertically aligned with the faucet handle and the robot's gripper is not near the faucet handle, the robot should move gripper near faucet handle.
    - When the robot's gripper is near the faucet handle, the robot should rotate grip handle right.

    - When the robot's gripper is not near the faucet handle, the robot should grab faucet handle.
    - When the robot's gripper is near the faucet handle, the robot should turn handle right.

    - When the robot's gripper is not near the faucet handle and the robot's gripper is not vertically aligned to the faucet handle, the robot should place gripper above the faucet handle.
    - When the robot's gripper is vertically aligned with faucet handle and the robot's gripper is not above the faucet handle, the robot should move gripper closer to the faucet handle.
    - When the robot's gripper is above the faucet handle, the robot should turn handle to the right.
