Using model: text-davinci-003

    - When the robot's gripper is not vertically aligned with the faucet handle, the robot should put gripper above faucet handle.
    - When the robot's gripper is vertically aligned with the faucet handle and the robot's gripper is not around faucet handle, the robot should put gripper around faucet handle.
    - When the robot's gripper is around faucet handle, the robot should turn faucet left.

    - When the robot's gripper is not vertically aligned with the faucet handle and the robot's gripper is not above the faucet handle, the robot should move the gripper above the faucet handle.
    - When the robot's gripper is above the faucet handle and the robot's gripper is not around the faucet handle, the robot should grab the faucet handle.
    - When the robot's gripper is around the faucet handle, the robot should turn the faucet left.

    - When the robot's gripper is not vertically aligned with the faucet handle, the robot should put gripper above faucet handle.
    - When the robot's gripper is vertically aligned with faucet handle and the faucet is not turning left, the robot should use gripper to turn faucet left.

    - When the robot's gripper is not vertically aligned with the faucet knop, the robot should put gripper above faucet knob.
    - When the robot's gripper is vertically aligned with the faucet knob, the robot should turn faucet knob to left.

    - When the robot's gripper is not vertically aligned with the faucet handle, the robot should put gripper above the faucet handle. 
    - When the robot's gripper is vertically aligned with the faucet handle, the robot should turn the faucet in left direction.
