Using model: text-davinci-003

    - When the robot's gripper is not above the handle, the robot should put gripper above handle.
    - When the robot's gripper is above the handle, the robot should push down on the handle.

    - When the robot's gripper is not above handle and the robot's gripper is not vertically aligned with handle, the robot should put the gripper above the handle.
    - When the robot's gripper is vertically aligned with the handle and the robot's gripper is not near handle, the robot should push the gripper down onto handle. 
    - When the robot's gripper is near the handle and the handle is below the robot's gripper, the robot should push down onto handle.

    - When the robot's gripper is not above the handle, the robot should put gripper above handle.
    - When the robot's gripper is above the handle, the robot should push down on handle.

    - When the robot's gripper is not vertically aligned with the handle, the robot should put gripper above handle.
    - When the robot's gripper is vertically aligned with handle, the robot should push down handle.

    - When the robot's gripper is not vertically aligned with the handle and the robot's gripper is below the handle, the robot should move gripper to right of handle.
    - When the robot's gripper is near the handle, the robot should lower the handle.
