Using model: text-davinci-003

    - When the robot's gripper is not near the plate, the robot should move the gripper to the side of the plate.
    - When the robot's gripper is near the plate, the robot should bring the gripper over the plate.
    - When the robot's gripper is above the plate and the robot's gripper is not near the target location, the robot should slide the plate towards the target location.

    - When the robot's gripper is not above the plate and the robot's gripper is not forward aligned with the plate, the robot should move gripper above the plate.
    - When the robot's gripper is forward aligned with the plate and the plate is not beside the target location, the robot should move plate towards target location.
    - When the plate is beside the target location, the robot should slide plate back into the target location.

    - When the robot's gripper is not above the plate and the robot is not facing the plate, the robot should first turn towards the plate.
    - When the robot's gripper is above the plate, the robot should place gripper above the plate.
    - When the robot's gripper is near the plate and the plate is below the robot's gripper, the robot should slide the plate back to goal.

    - When the robot's gripper is not vertically aligned with the plate, the robot should put gripper above plate.
    - When the robot's gripper is vertically aligned with the plate and the robot's gripper is not directly in front of the plate, the robot should move gripper in front of the plate.
    - When the robot's gripper is directly in front of the plate, the robot should slide the plate back.

    - When the robot's gripper is not near the plate or the robot's gripper is forward aligned with the plate, the robot should move gripper to left of plate.
    - When the robot's gripper is near the plate, the robot should slide plate back.
    - When the plate is in the goal area, the robot should push plate back harder.
